SMI-Family
ISIN;CH0009980894;;;;CH0019399820;;;;CH0019399838;;;;CH0019399853;;;;CH0019399861;;;;CH0009987501;CH0017810976
SYMBOL;SMI;;;;SMIMC;;;;SMIM;;;;SMIEXC;;;;SMIEXP;;;;SXGE;SPIEX
NAME;SMI®;;;;SMIM® TR;;;;SMIM PR;;;;SMI Expanded TM TR;;;;SMI Expanded PR;;;;SPI® Gesamt Index TR;SPI Extra® TR
;Price;;;;Total-Return;;;;Price-Index;;;;Total-Return;;;;Price-Index;;;;Total-Return;Total-Return
YTDPerf.%;-8.190;-9.200;-8.270;-9.300;4.520;3.860;4.460;3.520;2.460;1.810;2.400;1.480;-4.000;-5.040;-4.140;-5.170;-6.950;-7.960;-7.090;-8.080;-4.590;2.900;
Date;Open;Close;High;Low;Open;Close;High;Low;Open;Close;High;Low;Open;Close;High;Low;Open;Close;High;Low;Close;Close;
18.06.2018;8609.68;8519.57;8621.82;8488.36;3749.77;3716.37;3750.26;3699.61;2663.06;2639.34;2663.41;2627.44;2032.35;2010.17;2032.74;2002.66;1255.24;1241.54;1255.48;1236.91;10258.50;4424.10;
15.06.2018;8684.85;8642.60;8697.07;8632.17;3783.01;3759.55;3790.59;3749.03;2686.67;2670.00;2692.05;2662.53;2049.35;2038.77;2051.06;2036.32;1265.74;1259.21;1266.80;1257.70;10399.71;4470.17;
14.06.2018;8594.72;8690.83;8694.63;8564.33;3750.32;3786.31;3786.92;3737.93;2663.45;2689.01;2689.44;2654.65;2028.17;2049.65;2049.96;2020.59;1252.66;1265.92;1266.12;1247.98;10458.07;4504.90;
13.06.2018;8654.26;8634.61;8657.94;8618.36;3746.62;3763.42;3768.41;3746.24;2663.01;2674.96;2678.51;2662.74;2040.39;2037.38;2040.96;2033.15;1260.36;1258.50;1260.71;1255.89;10400.88;4488.62;
12.06.2018;8646.88;8640.80;8659.19;8604.91;3733.60;3741.19;3745.32;3731.05;2653.76;2659.16;2662.09;2651.95;2037.09;2036.32;2040.04;2028.61;1258.32;1257.85;1260.15;1253.09;10396.23;4472.48;
11.06.2018;8567.82;8623.54;8624.62;8567.52;3711.32;3726.17;3734.83;3711.32;2638.31;2648.87;2655.03;2638.31;2019.73;2031.34;2031.67;2019.36;1247.62;1254.80;1255.00;1247.40;10368.55;4452.54;
08.06.2018;8486.17;8512.06;8549.05;8456.51;3682.81;3697.96;3709.72;3665.43;2618.04;2628.82;2637.18;2605.69;2000.33;2007.18;2015.33;1994.20;1235.64;1239.87;1244.91;1231.85;10250.69;4422.82;
07.06.2018;8575.55;8548.33;8612.88;8514.03;3727.67;3708.60;3741.09;3697.21;2649.94;2636.38;2659.47;2628.28;2023.18;2015.25;2030.29;2007.70;1249.75;1244.86;1254.15;1240.19;10294.48;4442.53;
06.06.2018;8532.02;8544.99;8567.58;8470.15;3694.07;3709.53;3719.96;3688.96;2626.05;2637.04;2644.45;2622.42;2013.66;2015.15;2020.23;1998.34;1243.87;1244.80;1247.94;1234.41;10291.13;4437.44;
05.06.2018;8608.14;8538.31;8631.87;8538.31;3665.77;3678.56;3703.24;3662.81;2605.93;2615.02;2632.57;2603.83;2024.92;2012.24;2032.17;2012.24;1250.83;1243.00;1255.31;1243.00;10274.00;4407.13;
04.06.2018;8664.15;8634.42;8667.83;8605.72;3670.33;3670.76;3673.05;3652.02;2609.17;2609.48;2611.11;2596.16;2036.62;2030.66;2036.76;2024.65;1258.06;1254.38;1258.15;1250.66;10359.75;4399.29;
01.06.2018;8558.34;8618.54;8645.34;8529.80;3636.83;3650.76;3668.72;3632.74;2585.36;2595.26;2608.03;2582.45;2012.39;2025.73;2031.83;2007.20;1243.09;1251.33;1255.10;1239.89;10333.98;4379.04;
31.05.2018;8630.63;8456.95;8641.62;8454.28;3654.62;3616.31;3656.94;3610.66;2598.01;2570.77;2599.65;2566.76;2029.77;1991.49;2031.10;1990.78;1253.83;1230.18;1254.65;1229.75;10164.78;4336.64;
30.05.2018;8629.79;8578.68;8654.57;8578.68;3649.31;3633.95;3663.44;3633.95;2594.23;2583.31;2604.28;2583.31;2030.55;2017.37;2035.29;2017.37;1254.31;1246.17;1257.24;1246.17;10289.04;4354.98;
29.05.2018;8723.52;8637.20;8735.41;8613.24;3680.42;3649.99;3682.16;3634.03;2616.35;2594.71;2617.58;2583.37;2050.45;2030.72;2052.75;2025.35;1266.60;1254.41;1268.02;1251.10;10353.03;4369.56;
28.05.2018;8783.05;8775.45;8817.73;8761.93;3702.58;3700.10;3713.72;3693.95;2632.10;2630.33;2640.02;2625.96;2060.76;2061.76;2070.33;2058.32;1272.97;1273.59;1278.88;1271.46;10505.10;4419.62;
25.05.2018;8789.45;8759.08;8834.96;8759.08;3686.15;3691.42;3710.25;3679.53;2621.88;2625.63;2639.02;2617.17;2062.81;2056.63;2073.14;2056.60;1274.59;1270.77;1280.97;1270.75;10480.92;4412.94;
24.05.2018;8795.78;8770.94;8841.02;8733.92;3675.82;3673.48;3693.64;3661.59;2614.53;2612.86;2627.21;2604.41;2060.21;2057.21;2071.78;2048.72;1272.98;1271.13;1280.13;1265.88;10481.77;4395.58;
23.05.2018;8902.36;8794.94;8903.22;8766.52;3700.58;3681.26;3700.73;3670.85;2632.15;2618.40;2632.25;2611.00;2080.69;2061.85;2082.51;2055.38;1285.64;1273.99;1286.76;1270.00;10505.46;4405.27;
22.05.2018;8977.46;8936.07;8978.43;8924.32;3731.11;3718.08;3742.48;3715.38;2653.86;2644.59;2661.95;2642.67;2102.26;2091.55;2102.30;2089.24;1298.96;1292.35;1298.99;1290.92;10654.16;4451.10;
18.05.2018;8941.27;8940.46;8982.87;8917.76;3721.07;3719.45;3730.84;3708.75;2646.72;2645.56;2653.66;2637.95;2092.34;2094.25;2103.68;2088.94;1292.83;1294.01;1299.84;1290.73;10662.39;4443.16;
17.05.2018;8960.82;8988.33;8988.33;8937.52;3699.72;3729.44;3729.47;3695.90;2632.14;2653.28;2653.31;2629.42;2095.43;2104.28;2104.28;2092.70;1294.79;1300.25;1300.25;1293.10;10712.36;4456.34;
16.05.2018;8988.26;8973.88;9002.80;8951.28;3713.34;3704.06;3714.61;3700.82;2643.04;2636.44;2643.94;2634.13;2102.41;2099.30;2105.37;2094.38;1299.18;1297.26;1301.01;1294.22;10686.80;4432.81;
15.05.2018;8986.82;8994.22;9016.29;8963.91;3717.50;3725.93;3737.48;3707.53;2646.00;2652.00;2660.22;2638.90;2101.84;2104.94;2110.26;2097.36;1298.83;1300.75;1304.03;1296.06;10717.81;4458.35;
14.05.2018;9010.53;9000.89;9025.88;8979.90;3730.86;3721.36;3730.86;3708.61;2657.55;2650.78;2657.55;2641.70;2109.77;2106.41;2111.23;2101.19;1303.87;1301.80;1304.77;1298.57;10725.91;4457.25;
11.05.2018;8982.45;8993.51;9002.15;8964.91;3707.37;3724.58;3724.58;3705.44;2648.70;2661.00;2661.00;2647.33;2103.25;2105.44;2107.22;2098.97;1300.39;1301.75;1302.84;1297.74;10723.13;4463.33;
09.05.2018;8964.56;8984.10;8984.10;8926.19;3692.40;3700.56;3700.75;3675.81;2642.97;2648.81;2648.95;2631.10;2094.79;2099.89;2099.90;2086.24;1296.54;1299.69;1299.70;1291.24;10694.64;4440.36;
08.05.2018;8939.40;8944.90;8970.67;8913.73;3684.19;3692.21;3696.26;3677.86;2637.10;2642.84;2645.74;2632.57;2091.23;2091.14;2096.76;2083.89;1294.33;1294.27;1297.75;1289.79;10652.07;4431.25;
07.05.2018;8895.53;8978.65;8979.56;8895.10;3648.18;3689.18;3689.35;3647.18;2614.36;2643.74;2643.86;2613.65;2077.77;2097.82;2097.99;2077.77;1286.42;1298.84;1298.95;1286.42;10682.08;4426.09;
04.05.2018;8862.71;8903.83;8905.86;8844.14;3641.64;3642.22;3661.34;3632.11;2609.67;2610.09;2623.79;2602.85;2064.71;2073.76;2075.59;2061.29;1281.01;1286.63;1287.76;1278.89;10558.86;4370.40;
03.05.2018;8873.02;8842.29;8924.33;8840.28;3631.69;3631.89;3647.30;3623.22;2602.55;2602.69;2613.73;2596.48;2065.33;2059.35;2076.25;2058.41;1282.08;1278.37;1288.86;1277.79;10491.07;4362.59;
02.05.2018;8880.77;8896.28;8900.54;8858.48;3603.94;3631.80;3631.80;3603.88;2582.65;2602.62;2602.62;2582.61;2065.53;2070.28;2070.28;2061.64;1282.21;1285.16;1285.16;1279.79;10545.98;4369.50;
30.04.2018;8839.61;8886.26;8900.60;8836.85;3601.81;3596.32;3609.41;3593.21;2585.36;2581.41;2590.81;2579.18;2057.67;2066.67;2069.71;2056.88;1277.62;1283.21;1285.10;1277.13;10524.92;4334.30;
27.04.2018;8838.18;8843.02;8849.51;8807.33;3585.63;3600.95;3608.76;3581.47;2575.33;2586.34;2591.95;2572.35;2054.68;2058.55;2059.48;2050.59;1275.87;1278.28;1278.85;1273.34;10485.83;4336.11;
26.04.2018;8733.98;8835.03;8836.84;8725.17;3539.62;3583.33;3583.37;3536.98;2542.29;2573.68;2573.71;2540.39;2030.55;2055.15;2055.39;2028.83;1260.89;1276.17;1276.31;1259.82;10470.85;4324.78;
25.04.2018;8782.88;8740.96;8795.87;8690.66;3557.19;3536.49;3562.09;3514.46;2554.91;2540.04;2558.43;2524.22;2041.40;2031.16;2043.41;2019.78;1268.12;1261.77;1269.38;1254.70;10350.30;4273.84;
24.04.2018;8804.85;8796.91;8837.32;8768.11;3591.17;3573.20;3591.17;3553.17;2579.31;2566.41;2579.31;2552.02;2045.79;2044.06;2052.56;2036.96;1271.31;1270.23;1275.52;1265.82;10420.16;4320.18;
23.04.2018;8781.97;8806.63;8807.37;8735.93;3555.17;3587.10;3587.10;3548.26;2555.76;2578.72;2578.72;2550.79;2034.50;2043.71;2043.71;2027.59;1266.14;1271.86;1271.86;1261.83;10421.33;4336.42;
20.04.2018;8825.81;8807.80;8842.12;8785.46;3554.31;3557.88;3563.18;3542.23;2556.11;2558.67;2562.48;2547.42;2046.05;2041.99;2049.06;2036.82;1273.39;1270.86;1275.26;1267.64;10409.15;4305.95;
19.04.2018;8872.94;8833.18;8872.94;8800.14;3561.41;3559.20;3568.22;3548.30;2562.67;2561.08;2567.57;2553.24;2053.91;2047.63;2054.55;2040.35;1278.38;1274.47;1278.78;1269.94;10433.74;4303.03;
18.04.2018;8833.68;8831.88;8901.12;8807.54;3548.67;3559.06;3563.92;3541.63;2553.50;2560.98;2564.47;2548.43;2048.26;2047.50;2062.35;2041.72;1275.12;1274.64;1283.89;1271.05;10430.50;4297.64;
17.04.2018;8727.88;8820.04;8832.06;8727.36;3498.90;3542.93;3546.48;3497.17;2517.69;2549.37;2551.93;2516.45;2022.82;2044.32;2046.89;2022.13;1259.28;1272.67;1274.27;1258.85;10412.22;4278.71;
16.04.2018;8762.32;8726.54;8771.04;8689.61;3509.15;3494.25;3516.83;3486.36;2525.06;2514.34;2530.59;2508.66;2028.50;2021.74;2032.20;2013.82;1262.82;1258.61;1265.12;1253.68;10301.63;4233.05;
13.04.2018;8774.72;8776.17;8797.83;8742.98;3494.73;3495.21;3502.94;3478.59;2514.69;2515.03;2520.60;2503.07;2019.82;2021.24;2025.72;2014.23;1265.24;1266.13;1268.94;1261.74;10295.28;4225.72;
12.04.2018;8724.43;8774.76;8786.56;8687.21;3457.85;3492.28;3498.37;3449.33;2491.27;2515.02;2519.41;2484.09;2006.75;2019.95;2022.74;2000.10;1257.61;1265.80;1267.55;1253.37;10286.61;4218.33;
11.04.2018;8744.48;8708.44;8749.30;8695.99;3479.29;3450.03;3485.25;3436.93;2506.72;2485.64;2511.01;2476.20;2013.28;2004.66;2014.50;2001.58;1261.70;1256.30;1262.46;1254.37;10206.36;4169.53;
10.04.2018;8731.46;8755.57;8756.85;8703.34;3458.33;3474.62;3474.62;3440.19;2491.62;2503.36;2503.36;2478.55;2008.49;2015.87;2016.09;2003.07;1258.70;1263.32;1263.46;1255.30;10262.17;4194.31;
09.04.2018;8694.76;8687.08;8746.27;8659.99;3447.08;3443.86;3459.86;3432.77;2484.34;2482.02;2493.55;2474.02;2001.55;1999.44;2011.98;1993.59;1254.41;1253.08;1260.94;1249.41;10179.40;4160.01;
06.04.2018;8683.52;8671.04;8726.58;8665.66;3440.15;3438.67;3457.30;3434.63;2481.46;2480.39;2493.83;2477.47;1997.92;1996.15;2008.41;1994.20;1252.28;1251.17;1258.85;1249.95;10166.27;4160.88;
05.04.2018;8678.50;8742.60;8742.60;8641.92;3419.08;3450.34;3453.86;3418.64;2466.26;2488.81;2491.35;2465.94;1988.60;2003.65;2003.65;1981.48;1250.34;1259.80;1259.80;1245.86;10202.03;4170.64;
04.04.2018;8627.30;8553.69;8629.02;8521.42;3420.99;3382.94;3420.99;3363.41;2467.64;2440.19;2467.64;2426.11;1977.21;1961.19;1978.46;1953.74;1243.18;1233.10;1243.96;1228.42;9989.58;4094.13;
03.04.2018;8682.87;8630.93;8691.12;8612.60;3441.12;3421.96;3441.12;3407.65;2482.16;2468.34;2482.16;2458.02;1987.11;1976.06;1988.94;1972.38;1250.93;1243.97;1252.08;1241.66;10065.34;4135.43;
29.03.2018;8766.71;8740.97;8780.02;8714.77;3464.15;3462.62;3471.61;3439.61;2502.96;2501.86;2508.35;2485.23;2005.15;2001.23;2009.85;1993.92;1262.57;1260.11;1265.53;1255.50;10189.89;4178.40;
28.03.2018;8566.34;8756.12;8756.12;8522.33;3433.82;3454.23;3454.47;3395.56;2481.05;2495.79;2495.97;2453.40;1965.09;2003.58;2003.58;1952.76;1237.35;1261.59;1261.59;1229.59;10201.62;4173.39;
27.03.2018;8621.22;8638.42;8660.71;8593.38;3447.09;3453.64;3465.85;3437.64;2490.64;2495.37;2504.19;2483.81;1973.44;1978.97;1982.86;1969.20;1242.61;1246.09;1248.54;1239.94;10088.78;4179.14;
26.03.2018;8603.65;8509.29;8668.01;8501.17;3428.91;3407.40;3450.93;3399.04;2477.50;2461.96;2493.41;2455.91;1971.45;1949.77;1984.56;1947.72;1241.35;1227.71;1249.61;1226.42;9943.46;4128.18;
23.03.2018;8597.99;8569.08;8639.34;8549.15;3424.80;3422.45;3437.23;3387.52;2475.34;2473.65;2484.33;2448.40;1968.48;1962.44;1977.66;1956.05;1240.04;1236.23;1245.82;1232.21;10006.38;4146.24;
22.03.2018;8731.63;8637.87;8747.96;8625.94;3480.49;3447.97;3489.16;3438.67;2515.59;2492.09;2521.86;2485.36;1998.10;1978.00;2002.04;1975.36;1258.70;1246.03;1261.18;1244.37;10083.63;4173.66;
21.03.2018;8850.78;8783.70;8862.58;8762.31;3513.39;3499.30;3518.20;3490.81;2544.67;2534.46;2548.15;2528.31;2025.81;2009.78;2027.30;2005.24;1276.52;1266.42;1277.46;1263.56;10248.67;4243.71;
20.03.2018;8840.05;8847.29;8847.48;8772.70;3511.30;3510.46;3514.36;3490.69;2543.16;2542.55;2545.37;2528.22;2022.78;2023.11;2023.11;2007.65;1275.03;1275.24;1275.24;1265.50;10312.43;4254.21;
19.03.2018;8863.85;8811.33;8882.65;8797.97;3498.33;3494.09;3516.00;3478.13;2533.76;2530.69;2546.56;2519.13;2025.27;2015.40;2030.47;2011.29;1276.61;1270.38;1279.88;1267.79;10275.11;4239.75;
16.03.2018;8869.61;8882.53;8905.66;8860.60;3526.90;3504.00;3531.92;3499.04;2554.45;2537.87;2558.09;2534.27;2028.98;2030.20;2035.96;2026.33;1278.94;1279.72;1283.35;1277.28;10347.08;4251.74;
15.03.2018;8854.34;8878.98;8897.01;8809.91;3500.76;3519.89;3522.39;3481.66;2535.52;2549.37;2551.19;2521.68;2024.96;2030.76;2034.48;2014.31;1276.41;1280.07;1282.41;1269.70;10355.25;4275.09;
14.03.2018;8877.18;8869.33;8939.05;8856.07;3494.45;3493.56;3516.91;3483.93;2530.95;2530.31;2547.22;2523.33;2017.34;2016.59;2031.80;2014.01;1277.87;1277.40;1287.03;1275.76;10285.24;4248.49;
13.03.2018;8961.69;8880.92;8993.88;8865.96;3534.09;3500.19;3538.33;3494.02;2559.66;2535.11;2562.73;2530.64;2037.29;2018.89;2043.30;2015.37;1290.51;1278.86;1294.32;1276.62;10296.19;4253.73;
12.03.2018;8963.16;8970.74;8982.90;8932.54;3552.88;3535.30;3553.35;3526.46;2573.27;2560.54;2573.61;2554.13;2039.05;2038.66;2041.46;2030.78;1291.62;1291.38;1293.15;1286.39;10391.19;4284.17;
09.03.2018;8885.94;8931.85;8943.83;8880.40;3505.24;3534.83;3536.00;3501.79;2538.76;2560.19;2561.05;2536.26;2018.40;2031.18;2033.66;2018.09;1278.54;1286.64;1288.21;1278.35;10353.92;4279.73;
08.03.2018;8789.43;8896.42;8898.20;8789.02;3470.86;3504.73;3507.57;3470.86;2513.87;2538.39;2540.45;2513.87;1999.90;2021.37;2022.04;1998.83;1266.83;1280.43;1280.85;1266.14;10303.91;4249.10;
07.03.2018;8739.31;8784.84;8800.21;8709.80;3449.14;3466.57;3470.20;3429.99;2498.14;2510.76;2513.38;2484.26;1986.39;1995.76;1998.99;1979.59;1258.27;1264.20;1266.25;1253.96;10174.50;4202.37;
06.03.2018;8844.30;8765.88;8860.18;8765.88;3485.91;3461.04;3487.47;3453.32;2524.77;2506.75;2525.89;2501.16;2010.68;1992.37;2012.82;1992.37;1273.65;1262.06;1275.01;1262.06;10160.44;4202.06;
05.03.2018;8625.89;8808.38;8808.38;8624.04;3381.05;3450.95;3451.03;3380.31;2448.82;2499.44;2499.50;2448.28;1949.03;1989.45;1989.45;1948.93;1241.86;1267.61;1267.62;1241.80;10140.97;4182.78;
02.03.2018;8721.87;8628.51;8730.86;8612.98;3410.96;3382.62;3418.11;3376.06;2470.48;2449.95;2475.66;2445.20;1967.97;1948.88;1971.57;1945.30;1253.93;1241.77;1256.22;1239.48;9940.31;4111.56;
01.03.2018;8879.13;8792.38;8890.38;8774.96;3490.12;3439.78;3494.81;3430.16;2527.81;2491.35;2531.21;2484.39;2005.11;1984.45;2008.15;1980.85;1277.60;1264.43;1279.53;1262.14;10121.25;4182.18;
28.02.2018;8959.98;8906.38;8977.00;8906.38;3527.24;3506.59;3528.17;3501.71;2554.70;2539.74;2555.37;2536.21;2021.53;2011.45;2026.51;2011.45;1288.05;1281.63;1291.23;1281.63;10258.63;4253.59;
27.02.2018;9055.88;8992.52;9057.30;8967.72;3562.29;3542.45;3564.85;3533.58;2580.80;2566.42;2582.65;2559.99;2045.05;2030.85;2045.40;2026.01;1303.09;1294.05;1303.32;1290.96;10356.17;4293.25;
26.02.2018;8977.91;9026.11;9026.11;8962.98;3536.56;3547.52;3547.75;3531.35;2562.15;2570.09;2570.26;2558.38;2028.55;2038.57;2038.57;2025.37;1292.58;1298.96;1298.96;1290.55;10393.60;4299.27;
23.02.2018;8948.74;8948.19;8955.07;8897.56;3525.23;3527.35;3527.82;3499.40;2553.94;2555.48;2555.82;2535.24;2019.67;2021.36;2022.71;2009.30;1286.92;1287.99;1288.85;1280.31;10305.94;4270.63;
22.02.2018;8931.55;8967.43;8967.43;8899.23;3523.05;3527.57;3527.57;3496.79;2552.36;2555.64;2555.64;2533.34;2014.78;2024.84;2024.84;2009.97;1283.80;1290.21;1290.21;1280.74;10322.82;4271.74;
21.02.2018;8955.49;8988.99;8994.72;8901.39;3522.42;3552.32;3552.32;3508.35;2551.91;2573.57;2573.57;2541.71;2021.23;2029.73;2030.45;2009.84;1287.91;1293.33;1293.79;1280.66;10346.83;4292.48;
20.02.2018;8932.16;8981.39;8981.39;8898.48;3527.35;3532.19;3536.48;3506.21;2555.48;2558.99;2562.10;2540.17;2017.71;2027.26;2027.26;2009.29;1285.67;1291.75;1291.75;1280.30;10332.98;4272.69;
19.02.2018;8979.42;8908.65;8982.61;8897.83;3567.98;3524.09;3569.32;3514.36;2584.91;2553.12;2585.89;2546.07;2029.02;2013.00;2029.72;2010.05;1292.88;1282.67;1293.32;1280.79;10260.82;4256.40;
16.02.2018;8961.37;8986.72;8989.52;8940.85;3549.78;3559.23;3561.39;3543.74;2571.73;2578.58;2580.14;2567.35;2026.61;2031.45;2031.72;2021.44;1291.34;1294.43;1294.60;1288.05;10353.58;4294.92;
15.02.2018;8898.96;8917.80;8939.85;8887.41;3503.61;3530.50;3535.86;3501.60;2538.28;2557.76;2561.65;2536.83;2010.60;2016.34;2020.13;2008.69;1281.14;1284.79;1287.22;1279.92;10275.35;4258.83;
14.02.2018;8814.58;8899.10;8901.12;8748.36;3469.19;3484.20;3487.86;3432.71;2513.35;2524.22;2526.87;2486.92;1993.88;2012.03;2012.44;1978.91;1270.49;1282.05;1282.31;1260.94;10247.01;4207.09;
13.02.2018;8818.28;8752.64;8845.33;8752.64;3481.82;3443.76;3486.41;3443.76;2522.49;2494.92;2525.82;2494.92;1998.57;1980.49;2002.18;1980.49;1273.47;1261.95;1275.77;1261.95;10090.41;4160.23;
12.02.2018;8796.53;8822.18;8856.88;8780.74;3446.26;3467.37;3474.97;3439.60;2496.73;2512.03;2517.53;2491.91;1988.32;1996.32;2002.75;1986.22;1266.94;1272.04;1276.14;1265.61;10167.88;4183.97;
09.02.2018;8794.44;8682.00;8811.00;8664.03;3437.16;3409.74;3454.84;3403.74;2490.14;2470.28;2502.95;2465.93;1989.29;1964.23;1991.94;1960.81;1267.56;1251.59;1269.25;1249.41;10007.05;4120.66;
08.02.2018;8961.84;8763.11;8993.02;8763.11;3537.98;3448.39;3553.61;3448.39;2563.18;2498.28;2574.51;2498.28;2028.17;1982.60;2034.76;1982.60;1292.34;1263.30;1296.54;1263.30;10103.56;4170.35;
07.02.2018;8892.39;8975.01;9006.88;8867.32;3488.46;3541.40;3551.77;3476.25;2527.31;2565.66;2573.17;2518.46;2009.55;2031.54;2038.62;2006.05;1280.47;1294.48;1298.99;1278.24;10353.40;4280.19;
06.02.2018;8771.90;8836.71;8982.40;8732.58;3465.09;3465.04;3506.46;3385.86;2510.37;2510.34;2540.35;2452.97;1984.62;1998.71;2029.55;1978.05;1264.59;1273.56;1293.22;1260.40;10179.98;4183.90;
05.02.2018;9122.33;9100.39;9147.88;9085.39;3546.00;3535.90;3546.36;3516.89;2568.99;2561.67;2569.25;2547.91;2060.79;2055.00;2064.14;2050.88;1313.12;1309.43;1315.26;1306.80;10459.26;4266.10;
02.02.2018;9269.47;9220.69;9272.50;9220.69;3631.02;3590.28;3633.98;3588.79;2630.59;2601.07;2632.73;2599.99;2094.34;2082.26;2095.14;2082.26;1334.50;1326.80;1335.01;1326.80;10604.43;4341.59;
01.02.2018;9386.01;9290.92;9424.55;9288.05;3641.45;3633.70;3663.94;3630.58;2638.15;2632.53;2654.44;2630.27;2118.74;2100.22;2128.30;2099.58;1350.05;1338.25;1356.13;1337.84;10698.54;4393.97;
31.01.2018;9415.04;9335.40;9450.28;9335.40;3628.53;3634.57;3665.69;3627.35;2628.79;2633.16;2655.70;2627.93;2123.07;2108.49;2133.43;2108.49;1352.81;1343.52;1359.41;1343.51;10737.45;4394.43;
30.01.2018;9443.81;9433.34;9499.60;9390.16;3643.18;3625.59;3660.32;3624.51;2639.40;2626.66;2651.81;2625.87;2129.35;2126.13;2141.47;2117.71;1356.81;1354.76;1364.53;1349.39;10821.56;4389.46;
29.01.2018;9517.23;9457.27;9528.32;9451.91;3660.93;3650.16;3697.99;3650.16;2652.26;2644.45;2679.10;2644.45;2145.68;2132.59;2149.74;2131.71;1367.21;1358.87;1369.80;1358.31;10859.89;4424.30;
26.01.2018;9500.05;9515.56;9553.89;9496.66;3648.84;3659.97;3677.12;3643.11;2643.50;2651.56;2663.99;2639.34;2141.87;2145.20;2153.31;2141.04;1364.78;1366.91;1372.07;1364.25;10922.90;4439.06;
25.01.2018;9517.92;9482.96;9567.69;9474.24;3660.06;3648.99;3695.94;3644.76;2651.63;2643.60;2677.62;2640.54;2147.11;2138.08;2158.37;2137.04;1368.12;1362.37;1375.30;1361.70;10886.49;4424.84;
24.01.2018;9569.73;9547.57;9616.38;9547.57;3713.81;3689.64;3715.81;3689.64;2690.57;2673.05;2692.02;2673.05;2161.51;2154.55;2169.37;2154.55;1377.30;1372.86;1382.31;1372.86;10969.03;4465.83;
23.01.2018;9543.99;9551.58;9594.36;9529.11;3715.07;3706.72;3719.33;3698.59;2691.48;2685.43;2694.57;2679.54;2154.40;2156.25;2164.90;2151.55;1372.77;1373.95;1379.46;1370.95;10977.78;4480.31;
22.01.2018;9500.35;9529.13;9529.13;9475.06;3714.33;3700.02;3716.60;3691.68;2690.94;2680.57;2692.59;2674.53;2146.74;2150.71;2150.71;2140.85;1367.88;1370.42;1370.42;1364.13;10950.96;4473.75;
19.01.2018;9452.82;9509.77;9511.44;9447.51;3685.85;3713.20;3718.43;3685.85;2670.31;2690.12;2693.92;2670.31;2136.56;2147.83;2148.08;2135.17;1361.40;1368.58;1368.74;1360.51;10935.16;4479.23;
18.01.2018;9486.82;9452.35;9494.54;9432.49;3686.83;3684.74;3693.36;3680.04;2671.02;2669.50;2675.75;2666.10;2143.71;2135.70;2144.74;2132.14;1365.96;1360.85;1366.61;1358.59;10872.14;4445.64;
17.01.2018;9427.60;9440.01;9470.53;9422.05;3659.95;3679.54;3684.30;3657.79;2651.55;2665.74;2669.19;2649.98;2130.21;2134.00;2139.97;2128.87;1357.35;1359.77;1363.58;1356.50;10864.03;4441.52;
16.01.2018;9533.67;9464.05;9567.24;9464.05;3687.69;3669.29;3689.09;3665.28;2671.65;2658.31;2672.66;2655.41;2151.78;2137.09;2158.19;2137.06;1371.10;1361.74;1375.18;1361.72;10878.33;4433.21;
15.01.2018;9534.66;9537.28;9551.07;9511.71;3685.49;3686.23;3694.49;3676.36;2670.05;2670.59;2676.57;2663.44;2149.89;2151.69;2154.60;2145.66;1369.89;1371.04;1372.90;1367.20;10948.29;4448.33;
12.01.2018;9521.72;9546.61;9561.59;9508.99;3675.27;3684.46;3685.02;3672.51;2662.64;2669.30;2669.71;2660.65;2147.86;2152.67;2155.55;2144.25;1368.60;1371.67;1373.50;1366.30;10951.73;4444.51;
11.01.2018;9535.81;9503.85;9554.92;9475.17;3674.19;3671.55;3674.19;3654.16;2661.86;2659.95;2661.86;2647.35;2151.23;2143.69;2154.61;2136.92;1370.75;1365.95;1372.90;1361.63;10903.44;4422.49;
10.01.2018;9588.48;9524.96;9595.78;9506.27;3696.29;3670.30;3696.60;3665.95;2677.87;2659.05;2678.10;2655.89;2162.44;2148.96;2165.42;2144.90;1377.89;1369.30;1379.79;1366.71;10926.76;4418.43;
09.01.2018;9557.37;9611.61;9611.61;9554.48;3680.37;3706.12;3706.12;3676.34;2666.34;2684.99;2684.99;2663.42;2157.45;2169.71;2169.71;2155.99;1374.71;1382.52;1382.52;1373.78;11027.21;4451.02;
08.01.2018;9576.80;9541.73;9584.52;9538.37;3680.41;3681.82;3686.06;3675.24;2666.37;2667.39;2670.47;2662.62;2161.85;2153.64;2162.12;2153.20;1377.51;1372.28;1377.69;1372.00;10944.57;4418.46;
05.01.2018;9543.13;9556.98;9558.40;9527.05;3648.44;3676.14;3676.14;3643.53;2643.20;2663.28;2663.28;2639.65;2150.89;2156.12;2156.12;2149.64;1370.53;1373.86;1373.86;1369.74;10955.40;4412.36;
04.01.2018;9497.24;9509.28;9523.96;9467.86;3632.94;3640.48;3640.51;3615.37;2631.98;2637.44;2637.46;2619.25;2141.58;2143.58;2146.48;2133.71;1364.60;1365.87;1367.72;1359.58;10892.52;4377.51;
03.01.2018;9436.96;9478.92;9487.78;9394.47;3598.34;3622.76;3626.66;3598.34;2606.91;2624.60;2627.43;2606.91;2129.32;2137.29;2139.06;2119.59;1356.79;1361.87;1363.00;1350.59;10857.70;4353.42;
