Date,Open,High,Low,Close,Adj Close,Volume
1992-04-27,10.030000,10.030000,10.030000,10.030000,6.143764,0
1992-04-28,10.000000,10.000000,10.000000,10.000000,6.125384,0
1992-04-29,10.000000,10.000000,10.000000,10.000000,6.125384,0
1992-04-30,10.180000,10.180000,10.180000,10.180000,6.235646,0
1992-05-01,10.180000,10.180000,10.180000,10.180000,6.235646,0
1992-05-04,10.250000,10.250000,10.250000,10.250000,6.278522,0
1992-05-05,10.260000,10.260000,10.260000,10.260000,6.284647,0
1992-05-06,10.270000,10.270000,10.270000,10.270000,6.290775,0
1992-05-07,10.250000,10.250000,10.250000,10.250000,6.278522,0
1992-05-08,10.250000,10.250000,10.250000,10.250000,6.278522,0
1992-05-11,10.310000,10.310000,10.310000,10.310000,6.315272,0
1992-05-12,10.260000,10.260000,10.260000,10.260000,6.284647,0
1992-05-13,10.260000,10.260000,10.260000,10.260000,6.284647,0
1992-05-14,10.180000,10.180000,10.180000,10.180000,6.235646,0
1992-05-15,10.120000,10.120000,10.120000,10.120000,6.198892,0
1992-05-18,10.180000,10.180000,10.180000,10.180000,6.235646,0
1992-05-19,10.250000,10.250000,10.250000,10.250000,6.278522,0
1992-05-20,10.240000,10.240000,10.240000,10.240000,6.272397,0
1992-05-21,10.170000,10.170000,10.170000,10.170000,6.229518,0
1992-05-22,10.210000,10.210000,10.210000,10.210000,6.254022,0
1992-05-26,10.140000,10.140000,10.140000,10.140000,6.211145,0
1992-05-27,10.160000,10.160000,10.160000,10.160000,6.223393,0
1992-05-28,10.250000,10.250000,10.250000,10.250000,6.278522,0
1992-05-29,10.250000,10.250000,10.250000,10.250000,6.278522,0
1992-06-01,10.300000,10.300000,10.300000,10.300000,6.309149,0
1992-06-02,10.240000,10.240000,10.240000,10.240000,6.272397,0
1992-06-03,10.260000,10.260000,10.260000,10.260000,6.284647,0
1992-06-04,10.230000,10.230000,10.230000,10.230000,6.266273,0
1992-06-05,10.220000,10.220000,10.220000,10.220000,6.260144,0
1992-06-08,10.210000,10.210000,10.210000,10.210000,6.254022,0
1992-06-09,10.120000,10.120000,10.120000,10.120000,6.198892,0
1992-06-10,10.050000,10.050000,10.050000,10.050000,6.156012,0
1992-06-11,10.070000,10.070000,10.070000,10.070000,6.168264,0
1992-06-12,10.100000,10.100000,10.100000,10.100000,6.186644,0
1992-06-15,10.100000,10.100000,10.100000,10.100000,6.186644,0
1992-06-16,10.050000,10.050000,10.050000,10.050000,6.156012,0
1992-06-17,9.890000,9.890000,9.890000,9.890000,6.058010,0
1992-06-18,9.850000,9.850000,9.850000,9.850000,6.033504,0
1992-06-19,9.910000,9.910000,9.910000,9.910000,6.070260,0
1992-06-22,9.890000,9.890000,9.890000,9.890000,6.058010,0
